name,kind,az_deg,n_cross_axis_full,n_cross_axis_gate,n_cross_col_full,n_cross_col_gate,n_cross_col_gate_wt,n_cross_paper,n_grain_axis,n_grain_col_gate,chord_axis_mm,path_axis_mm,t_axis_us,c_axis_ms,c_vol_ms,c_slow_ms,v_sd_ms,cos2_beam,cos2_beam_col,a1_col,a3_col,skew_deg,skew_p90_deg,dv_all_rms,dv_all_mean,dv_all_p90,dv_cross_rms,dv_cross_mean,misor_cross_deg,normal_align,facing_frac_10,facing_frac_20,dark_all_0.001,dark_cross_0.001,dark_all_0.01,dark_cross_0.01,bright_half_area
girdle_s7,girdle,336,13,2,11.57,2.535,2.4899588,59,10,11,9.9979687,99.979687,26.16093,3821.7177,3839.2878,3838.821,42.340565,0.15083217,0.24961486,0.77074075,0.049022586,2.7571908,4.1096705,0.0075029658,0.0059317244,0.012876149,0.0060077017,0.0048973668,46.907624,0.56279472,0.014397343,0.070937774,0.15042391,0.098619329,0.76100005,0.94280079,0.18693943
girdle_s7,girdle,342,7,2,8.555,2.345,2.3097212,61,8,11,12.497461,99.979687,26.079711,3833.6194,3850.2244,3849.8342,38.690483,0.11237762,0.18658331,0.77074075,0.049022586,2.705698,4.0850506,0.0069328184,0.0055141332,0.011891003,0.0054079566,0.0040465902,43.8393,0.59514784,0.015226717,0.051999631,0.17668343,0.21535181,0.84240232,0.89765458,0.18266525
girdle_s7,girdle,348,7,2,8.415,2.285,2.2557063,62,8,10,12.482422,99.859375,25.935732,3850.2625,3860.325,3860.0289,33.687807,0.082834022,0.11115289,0.75008638,0.047906639,2.6620658,4.0832659,0.0061229553,0.0047950094,0.011306413,0.0061470921,0.0046613895,42.449475,0.59908172,0.013736796,0.040345957,0.16817196,0.17067834,0.89597122,0.81400438,0.16507219
girdle_s7,girdle,354,7,1,7.265,2.115,2.0877378,58,8,11,12.497461,99.979687,25.896862,3860.6874,3867.7819,3867.5571,29.357164,0.063492568,0.076255773,0.7391254,0.049954595,2.5679758,3.946698,0.0054151578,0.0041327401,0.010470291,0.0063955806,0.0049020147,40.450887,0.62573638,0.01037225,0.046244753,0.17919184,0.22458629,0.90615896,0.79432624,0.12861387
girdle_s17,girdle,0,7,1,8.805,1.68,1.5173933,53,8,9,12.497461,99.979687,25.766896,3880.1603,3869.338,3869.1236,28.657279,0.063182058,0.056298638,0.68426588,0.053174747,2.5284452,4.0110818,0.0054600415,0.0042061239,0.010031916,0.0055735263,0.003472843,40.300536,0.6373827,0.0048499492,0.063345197,0.15410036,0.43154762,0.91335074,0.89285714,0.14493406
girdle_s17,girdle,6,7,1,8.915,1.66,1.4982579,51,8,9,12.497461,99.979687,25.792366,3876.3287,3868.799,3868.5577,30.423395,0.064015704,0.053191857,0.68426588,0.053174747,2.4434679,4.0720437,0.0055775183,0.0043307121,0.0098299591,0.0059586363,0.0037821148,39.798111,0.63198284,0.012864517,0.058319142,0.20041614,0.38554217,0.91203964,0.84036145,0.17034434
girdle_s17,girdle,12,6,1,9.965,1.755,1.5951205,48,7,8,14.265625,99.859375,25.809608,3869.0775,3864.9053,3864.6027,34.067222,0.074331536,0.0488162,0.73147679,0.043689334,2.4633776,4.0714451,0.0061447433,0.0046973833,0.010934192,0.0062397257,0.0042464033,40.084676,0.6374963,0.014063796,0.060102212,0.18904676,0.1965812,0.84307403,0.82051282,0.15810676
girdle_s17,girdle,18,9,1,10.18,1.76,1.6373431,49,10,8,9.9979687,99.979687,25.918819,3857.4168,3858.2174,3857.8513,37.445825,0.093678704,0.057674875,0.73147679,0.043689334,2.6129225,4.0726415,0.0068281208,0.0053197734,0.012165616,0.0055765705,0.0040928318,40.089952,0.62849478,0.0085446454,0.059801952,0.1492328,0.17897727,0.81738374,0.88920455,0.15582267
girdle_s17,girdle,24,12,2,10.665,1.73,1.6149377,52,11,9,9.0890625,99.979687,25.957184,3851.7156,3849.7915,3849.3916,39.119617,0.12121164,0.095283323,0.71302886,0.052056703,2.7600858,4.0794834,0.0073041982,0.0058687889,0.012770416,0.0051681034,0.0042657517,40.473256,0.61779175,0.01845499,0.064736432,0.15362311,0.066473988,0.80022136,0.93063584,0.18670543
girdle_s17,girdle,30,11,1,11.365,1.785,1.7050038,50,10,9,9.9979687,99.979687,25.969893,3849.8305,3841.0058,3840.6112,38.886476,0.15572703,0.12283021,0.71302886,0.052056703,3.0031629,4.1060389,0.0074262655,0.0060381909,0.012975303,0.0047034786,0.0039785408,40.998384,0.62022758,0.02425679,0.056676957,0.13130348,0.12605042,0.77662145,0.95518207,0.20449739
girdle_s17,girdle,36,9,1,12.09,1.825,1.7453852,51,10,8,9.9979687,99.979687,25.931945,3855.4643,3833.3266,3832.948,38.125668,0.19571638,0.13920078,0.76263569,0.055274134,3.1980334,4.1330459,0.0073230123,0.0059555389,0.012812063,0.0051666089,0.0043671882,42.900234,0.60986765,0.015341442,0.075298367,0.10824069,0.1260274,0.78775573,0.97534247,0.183709
